2.674502787429969275e-02,4.967492118398553202e-02
6.677970668085136952e-02,6.431639089498375483e-02
7.746658192695345113e-02,8.573567127270909083e-02
2.939015038996387053e-02,1.837737446614973180e-02
1.077612827013546375e-02,1.631065680808507778e-02
4.977258440006356033e-02,6.057528454556937447e-02
2.777986556781364413e-02,2.967314702487211520e-02
5.176005305442915594e-02,5.261302054691352481e-02
2.180449304696836788e-01,2.586191265835378061e-01
3.450631057565436977e-02,4.860035940259432863e-02
3.870368963158949543e-02,2.372050719533813634e-02
1.484786918767314057e-01,1.819721630976003368e-01
2.053406743715329580e-02,1.019468188150618460e-02
3.321034561368362004e-02,1.334259015060546005e-02
1.891459480370552559e-02,-4.061513385814841115e-03
4.128594817521778759e-02,6.593056235366301365e-02
2.093648666385736490e-01,1.892949545226105812e-01
3.166292476356929314e-02,1.664007761096186755e-02
2.600033159018216855e-02,4.692468464656052163e-02
1.975851254170783167e-01,1.163592927513814601e-01
4.895051707344032221e-02,4.465366152751126805e-02
1.045996393956769022e-01,8.448721168277373295e-02
1.221668036778877919e-02,-1.254666359564815536e-02
1.446778394136380708e-01,1.746643793766269326e-01
1.028965784038077085e-02,4.513356918701916243e-03
3.859246875798751780e-02,6.583974635562395150e-02
4.486435889110716030e-02,4.823515497200947522e-02
4.709844774345972596e-02,6.392225463774181549e-02
6.635416594706991522e-02,8.156106443576582876e-02
2.712221170651505503e-02,4.844497890254029215e-02
3.339410183963470446e-02,1.067509394861598793e-02
4.906173794704228597e-02,7.771065591345305279e-02
4.032364583405293607e-02,7.293267755106391803e-02
8.335161684754451017e-02,1.116125183267708820e-01
9.538281395718341271e-02,1.097817863176651088e-01
6.550792016966364151e-02,7.341585497262670401e-02
9.856469808023100854e-02,1.343382899668128516e-01
6.648472958129830745e-02,1.154186980099485282e-01
8.568241950302922516e-02,1.056972131534452686e-01
3.053137326692319242e-02,3.205208827242245206e-02
1.039758353654745560e-01,1.030711929440251140e-01
2.546840567295536803e-02,2.704952445550468099e-02
1.119257099829369245e-01,1.200284296013887086e-01
1.245226828408989017e-01,1.446140125058059667e-01
1.190776957245591045e-01,9.924297376846880070e-02
2.460281713492266237e-02,1.491042453893509645e-02
2.001770553410198161e-01,2.768596312164177675e-01
